neutral,2018-04-24 ," RT @StockRatingsHQ: Wednesday, April 25th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $…",0.0
positive,2018-04-24 , RT @kalrasam: @TargetInvesting $INFY ₹INFY Infosys did Investor meet yesterday and below are the important slides and our analysis of the s…,2.0
neutral,2018-04-24 , $SVSA News not PR'D or seen IN US📈💸🔭 https://t.co/rawne3uKfv $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL… https://t.co/lGoGVFd2lC,0.0
neutral,2018-04-24 ," Wednesday, April 25th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY… https://t.co/BFAZH4epel",0.0
neutral,2018-04-24 ," Indian markets continue to climb, more news about $WMT's Flipkart acquisition &amp; more https://t.co/ooL7tnu6s1 $WMT… https://t.co/nQSO5Afm5t",0.0
positive,2018-04-24 , @TargetInvesting $INFY ₹INFY did Investor meet yesterday and below are the important slides and our analysis of the… https://t.co/lVnB0P7kVq,2.0
positive,2018-04-24 , RT @kalrasam: @TargetInvesting $INFY ₹INFY Infosys did Investor meet yesterday and below are the important slides and our analysis of the s…,2.0
positive,2018-04-24 , @TargetInvesting $INFY ₹INFY Infosys did Investor meet yesterday and below are the important slides and our analysi… https://t.co/qhjN5BQ7Xh,2.0
neutral,2018-04-24 , 2018-04-23 Short sell volume percent for $INFY is 64%. https://t.co/Y0BCeckRvo $ORCL 31% $HPQ 54% $XLK 76% $INFY 64%,0.0
neutral,2018-04-24 , $SVSA News not PR'D or seen IN US📈💸🔭 https://t.co/rawne3uKfv $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL… https://t.co/qgVfP9sluU,0.0
neutral,2018-04-24 , $SVSA News not PR'D or KNOWN OF IN US💸 https://t.co/rawne3uKfv $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/QPrVcbyVS5,0.0
neutral,2018-04-23 ," RT @StockRatingsHQ: Tuesday, April 24th 2018 - New Buy, Sell or Hold Ratings Issued For:  $INFY $OAS $TEVA $DVN $AKS $WMT $BHGE $IBM $ERFB…",0.0
positive,2018-04-23 , RT @picks_alert: $ACOL HUGE NEWS Acology Purchases Entire MedTainer Intellectual Property Portfolio https://t.co/dQvcu3lfXg @frontpagestock…,1.0
positive,2018-04-23 ," RT @SAlphaTech: Infosys CEO reiterates belief in digital services growth, reveals three-year plan https://t.co/MhxRsNFlKs $INFY",2.0
positive,2018-04-23 ," Infosys CEO reiterates belief in digital services growth, reveals three-year plan https://t.co/MhxRsNFlKs $INFY",2.0
positive,2018-04-23 ," Infosys CEO reiterates belief in digital services growth, reveals three-year plan https://t.co/OD0w5eS953 $INFY",2.0
positive,2018-04-23 , $ACOL HUGE NEWS Acology Purchases Entire MedTainer Intellectual Property Portfolio https://t.co/dQvcu3lfXg… https://t.co/WMiUQI7CFr,1.0
